PROVINCE,合计,高中,大学专科,大学本科,研究生
全    国,1064195,138751,78481,64259,6364
北    京,16691,2302,2515,4098,1508
天    津,12223,1607,1488,1815,155
河    北,57391,7502,3642,2624,161
山    西,28597,4252,2437,1857,151
内 蒙 古,19630,2471,2093,1571,130
辽    宁,34381,4570,2813,2682,229
吉    林,21211,3024,1251,1478,152
黑 龙 江,29914,4102,2276,1782,97
上    海,18895,2821,2397,3075,517
江    苏,62186,8562,5208,3795,278
浙    江,44089,5093,3409,3294,302
安    徽,47823,5864,3442,2237,188
福    建,29725,3197,1953,1854,158
江    西,35213,4960,1925,1493,72
山    东,75785,8381,5344,3971,385
河    南,72177,9877,4171,2349,246
湖    北,45347,6966,3470,3385,203
湖    南,52016,8829,3606,2328,245
广    东,86007,14688,6439,3997,236
广    西,36719,3944,1718,819,59
海    南,7051,869,540,624,10
重    庆,23659,3279,2002,1450,142
四    川,63872,6696,4625,3276,351
贵    州,26757,2354,1281,1184,23
云    南,36584,2983,2071,1494,70
西    藏,2537,138,91,110,2
陕    西,29664,4060,2220,2784,164
甘    肃,19988,2402,1367,1113,37
青    海,4520,395,316,323,13
宁    夏,5168,660,407,261,12
新    疆,18375,1904,1963,1137,66