PROVINCE,ADM1_PCODE,POP,RATE,DEATH_RATE,HEALTHCARE,POP_URBAN,POP_RURAL,POP_RATIO,POP_DENSITY,SUBREGION,GDP,GDP_CAPITA
全    国,CN,139538,4.62,1.35,997433,83137,56401,58.5,132,333,900309.0,64644
北    京,CN011,2154,3.91,0.31,10058,1863,291,86.5,823,1,30320.0,140211
天    津,CN012,1560,1.84,0.30,5686,1297,263,83.2,886,1,18809.6,120711
河    北,CN013,7556,1.16,0.18,85088,4264,3292,56.4,359,11,36010.3,47772
山    西,CN014,3718,1.49,0.35,42079,2172,1546,58.4,211,11,16818.1,45328
内 蒙 古,CN015,2534,1.36,0.20,24610,1589,945,62.7,20,12,17289.2,68302
辽    宁,CN021,4359,2.89,0.42,36029,2969,1391,68.1,290,14,25315.4,58008
吉    林,CN022,2704,2.17,0.47,22691,1556,1148,57.5,146,9,15074.6,55611
黑 龙 江,CN023,3773,1.84,0.36,20349,2268,1505,60.1,81,13,16361.6,43274
上    海,CN031,2424,2.13,0.18,5293,2135,288,88.1,2657,1,32679.9,134982
江    苏,CN032,8051,1.93,0.33,33254,5604,2447,69.6,725,13,92595.4,115168
浙    江,CN033,5737,3.14,0.46,32754,3953,1784,68.9,459,11,56197.2,98643
安    徽,CN034,6324,2.06,0.44,24925,3458,2865,54.7,429,16,30006.8,47712
福    建,CN035,3941,2.68,0.57,27590,2594,1347,65.8,286,9,35804.0,91197
江    西,CN036,4648,3.55,0.89,36545,2604,2044,56.0,248,11,21984.8,47434
山    东,CN037,10047,0.96,0.11,81470,6147,3900,61.2,579,16,76469.7,76267
河    南,CN041,9605,3.03,1.46,71351,4967,4638,51.7,554,17,48055.9,50152
湖    北,CN042,5917,2.50,0.69,36486,3568,2349,60.3,324,13,39366.6,66616
湖    南,CN043,6899,4.52,1.60,56239,3865,3034,56.0,304,14,36425.8,52949
广    东,CN044,11346,4.03,0.87,51451,8022,3325,70.7,486,21,97277.8,86412
广    西,CN045,4926,12.32,6.29,33742,2474,2452,50.2,190,14,20352.5,41489
海    南,CN046,934,2.24,0.54,5325,552,383,59.1,232,4,4832.1,51955
重    庆,CN050,3102,11.60,3.14,20524,2032,1070,65.5,375,1,20363.2,65933
四    川,CN051,8341,17.47,4.71,81537,4362,3979,52.3,172,21,40678.1,48883
贵    州,CN052,3600,10.32,2.73,28066,1711,1889,47.5,200,9,14806.5,41244
云    南,CN053,4830,11.52,4.61,24954,2309,2521,47.8,109,16,17881.1,37136
西    藏,CN054,344,1.54,0.12,6844,107,237,31.1,2.1,7,1477.6,43397
陕    西,CN061,3864,2.66,0.43,35300,2246,1618,58.1,175,10,24438.3,63477
甘    肃,CN062,2637,2.35,0.39,27897,1258,1380,47.7,56,14,8246.1,31336
青    海,CN063,603,2.59,0.50,6396,329,275,54.5,7.2,8,2865.2,47689
宁    夏,CN064,688,1.69,0.32,4450,405,283,58.9,108,5,3705.2,54094
新    疆,CN065,2487,10.10,3.74,18450,1266,1221,50.9,12,14,12199.1,49475